whereItHappened,ts,f0_
connections,2024-07-01T08:19:00,47701
connections,2024-07-01T08:20:00,47508
connections,2024-07-01T08:21:00,47682
connections,2024-07-01T08:22:00,47130
connections,2024-07-01T08:23:00,47474
connections,2024-07-01T08:24:00,47592
connections,2024-07-01T08:25:00,47797
connections,2024-07-01T08:26:00,48168
connections,2024-07-01T08:27:00,48140
connections,2024-07-01T08:28:00,48090
connections,2024-07-01T08:29:00,47793
connections,2024-07-01T08:30:00,47331
connections,2024-07-01T08:31:00,47533
connections,2024-07-01T08:32:00,47075
connections,2024-07-01T08:33:00,47315
connections,2024-07-01T08:34:00,47472
connections,2024-07-01T08:35:00,48081
connections,2024-07-01T08:36:00,47977
connections,2024-07-01T08:37:00,48000
connections,2024-07-01T08:38:00,47488
connections,2024-07-01T08:39:00,47474
connections,2024-07-01T08:40:00,47711
connections,2024-07-01T08:41:00,47593
connections,2024-07-01T08:42:00,47374
connections,2024-07-01T08:43:00,47358
connections,2024-07-01T08:44:00,47578
connections,2024-07-01T08:45:00,47307
connections,2024-07-01T08:46:00,46834
connections,2024-07-01T08:47:00,47139
connections,2024-07-01T08:48:00,47360
connections,2024-07-01T08:49:00,47368
connections,2024-07-01T08:50:00,47499
connections,2024-07-01T08:51:00,47385
connections,2024-07-01T08:52:00,47788
connections,2024-07-01T08:53:00,47877
connections,2024-07-01T08:54:00,47823
connections,2024-07-01T08:55:00,47406
connections,2024-07-01T08:56:00,47177
connections,2024-07-01T08:57:00,47279
connections,2024-07-01T08:58:00,46564
connections,2024-07-01T08:59:00,46943
connections,2024-07-01T09:00:00,46214
connections,2024-07-01T09:01:00,45456
connections,2024-07-01T09:02:00,45922
connections,2024-07-01T09:03:00,46442
connections,2024-07-01T09:04:00,46597
connections,2024-07-01T09:05:00,46777
connections,2024-07-01T09:06:00,46846
connections,2024-07-01T09:07:00,46992
connections,2024-07-01T09:08:00,46993
connections,2024-07-01T09:09:00,47440
connections,2024-07-01T09:10:00,47330
connections,2024-07-01T09:11:00,46738
connections,2024-07-01T09:12:00,47172
connections,2024-07-01T09:13:00,47335
connections,2024-07-01T09:14:00,47491
connections,2024-07-01T09:15:00,47291
connections,2024-07-01T09:16:00,47092
connections,2024-07-01T09:17:00,46605
connections,2024-07-01T09:18:00,46639
connections,2024-07-01T09:19:00,46564
connections,2024-07-01T09:20:00,46703
connections,2024-07-01T09:21:00,46507
connections,2024-07-01T09:22:00,46399
